Athlete_ID,Race_ID,Time_sec,Rank
1,1,1949.0142459033698,107
1,2,1758.5207096486447,72
1,3,1466.4359645859238,467
1,4,1895.670655406815,215
1,5,2273.7638446522174,662
1,6,2030.2304187458726,309
1,7,1625.7365597929456,277
1,8,1642.4490578465557,161
1,9,1872.5886814698101,748
1,10,1226.0159266026608,857
2,1,2044.933524285398,682
2,2,1342.8372007152418,476
2,3,1866.623670469423,876
2,4,1569.6070494170767,567
2,5,1792.6634467517804,485
2,6,1906.6653951367296,819
2,7,1642.4631446609974,274
2,8,2373.831381407762,388
2,9,1828.537735295141,777
2,10,1999.3963028249557,346
3,1,1887.3102003786546,367
3,2,1609.332077917608,956
3,3,1795.9508325786198,943
3,4,1482.68672131323,35
3,5,1731.164863850413,872
3,6,1916.804673976837,388
3,7,1862.6590785014266,106
3,8,1212.0989628360674,772
3,9,1865.5914948161587,816
3,10,2064.528311684583,271
4,1,1765.305515283528,720
4,2,1709.6688913232133,749
4,3,2032.1101250501047,922
4,4,1638.557501501112,217
4,5,1903.0854868705385,41
4,6,1271.0879533911798,157
4,7,1974.6368384139118,675
4,8,2066.324537878007,419
4,9,1548.2347430332084,135
4,10,1707.2362872446356,201
5,1,1347.5540131357552,48
5,2,2129.894092735446,503
5,3,1468.0995077981916,99
5,4,1441.1380127757989,684
5,5,2050.4386257691285,961
5,6,1888.9684152986913,739
5,7,1908.4908075142903,769
5,8,1606.4640736184626,5
5,9,2248.630275865042,871
5,10,1901.454375597996,795
6,1,1014.0764687730767,554
6,2,2046.5707513125672,892
6,3,1374.374862422579,96
6,4,2112.7474852018263,900
6,5,1734.0984336487463,749
6,6,1907.1337714535239,655
6,7,1563.222501390624,160
6,8,2023.113385131368,839
6,9,1557.4519191320437,578
6,10,1649.472886924639,682
7,1,1950.4344994574415,646
7,2,2147.4559958796085,796
7,3,1641.0719388698883,798
7,4,1953.9802299340067,958
7,5,2211.558640064933,348
7,6,1852.6659881864498,473
7,7,1589.3840718367942,377
